holdout,buffer_km,seed,learner,representation,source_track,target_track,oa,ba
south_holdout_5km_buffer,5.0,29,SVC,I28_G29,t139,t88,44.666666666666664,68.02771522451603
south_holdout_5km_buffer,5.0,43,RF,I28,t15,t37,53.145833333333336,62.92295713957008
south_holdout_5km_buffer,5.0,43,RF,I28,t15,t88,51.33333333333333,66.201528689369
south_holdout_5km_buffer,5.0,43,RF,I28,t15,t139,45.15625,61.28949024834227
south_holdout_5km_buffer,5.0,43,RF,I28,t37,t15,55.40625,63.80769647095818
south_holdout_5km_buffer,5.0,43,RF,I28,t37,t88,48.21875,62.918022079563706
south_holdout_5km_buffer,5.0,43,RF,I28,t37,t139,45.427083333333336,60.78176379008706
south_holdout_5km_buffer,5.0,43,RF,I28,t88,t15,54.125,60.903491864393146
south_holdout_5km_buffer,5.0,43,RF,I28,t88,t37,52.104166666666664,56.23907753938231
south_holdout_5km_buffer,5.0,43,RF,I28,t88,t139,47.0,56.579501492338935
south_holdout_5km_buffer,5.0,43,RF,I28,t139,t15,54.989583333333336,64.5601532793432
south_holdout_5km_buffer,5.0,43,RF,I28,t139,t37,55.270833333333336,60.18226524109894
south_holdout_5km_buffer,5.0,43,RF,I28,t139,t88,50.708333333333336,58.449361761393284
south_holdout_5km_buffer,5.0,43,RF,I28_G29,t15,t37,55.145833333333336,70.38876506681085
south_holdout_5km_buffer,5.0,43,RF,I28_G29,t15,t88,53.979166666666664,73.12768919669041
south_holdout_5km_buffer,5.0,43,RF,I28_G29,t15,t139,47.36458333333333,67.68754843145487
south_holdout_5km_buffer,5.0,43,RF,I28_G29,t37,t15,58.135416666666664,71.8048196864982
south_holdout_5km_buffer,5.0,43,RF,I28_G29,t37,t88,51.583333333333336,71.08423296923148
south_holdout_5km_buffer,5.0,43,RF,I28_G29,t37,t139,48.09375,67.99946022541872
south_holdout_5km_buffer,5.0,43,RF,I28_G29,t88,t15,56.208333333333336,69.56024114191818
south_holdout_5km_buffer,5.0,43,RF,I28_G29,t88,t37,54.46875,65.96749495034116
south_holdout_5km_buffer,5.0,43,RF,I28_G29,t88,t139,49.291666666666664,65.51683990535071
south_holdout_5km_buffer,5.0,43,RF,I28_G29,t139,t15,56.65625,73.22865136074871
south_holdout_5km_buffer,5.0,43,RF,I28_G29,t139,t37,55.489583333333336,67.16694267876974
south_holdout_5km_buffer,5.0,43,RF,I28_G29,t139,t88,51.864583333333336,67.14961229678501
south_holdout_5km_buffer,5.0,43,SVC,I28,t15,t37,49.395833333333336,60.48275128886742
south_holdout_5km_buffer,5.0,43,SVC,I28,t15,t88,47.5625,63.55833281641067
south_holdout_5km_buffer,5.0,43,SVC,I28,t15,t139,44.15625,61.83721090420029
south_holdout_5km_buffer,5.0,43,SVC,I28,t37,t15,51.07291666666667,60.989953468655166
