learner,representation,source_track,seed,params,in_track_oa,cross_track_oa,in_track_ba,cross_track_ba,transfer_gap_oa,transfer_gap_ba
RF,I8,t37,43,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",71.64583333333333,66.8923611111111,65.9450748645875,66.31991741501565,4.7534722222222285,-0.3748425504281556
RF,I8,t88,43,"{'max_features': 0.5, 'min_samples_leaf': 1}",71.04166666666666,68.23958333333333,69.78496520221655,63.378442522563624,2.8020833333333286,6.40652267965293
RF,I8,t139,43,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",71.625,67.25694444444446,67.66614480986543,58.95582389720041,4.368055555555543,8.710320912665019
RF,I28,t15,43,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",74.42708333333333,70.79513888888889,71.43751070885025,67.50203214921949,3.631944444444443,3.9354785596307664
RF,I28,t37,43,"{'max_features': 'sqrt', 'min_samples_leaf': 5}",73.40624999999999,68.87152777777777,68.57987923716287,69.04930567540138,4.534722222222214,-0.46942643823851427
RF,I28,t88,43,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",72.42708333333333,70.29513888888889,71.32122655439963,65.33864750618487,2.131944444444443,5.98257904821476
RF,I28,t139,43,"{'max_features': 1.0, 'min_samples_leaf': 1}",74.01041666666667,68.40625,71.11694417818022,62.33193047718928,5.604166666666671,8.785013700990937
RF,I8_G9,t15,43,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",75.21875000000001,72.00000000000001,77.3240534497788,73.62732817287339,3.21875,3.6967252769054113
RF,I8_G9,t37,43,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",73.64583333333331,71.05555555555554,74.23746388095047,75.09456089548469,2.5902777777777715,-0.8570970145342187
RF,I8_G9,t88,43,"{'max_features': 0.5, 'min_samples_leaf': 1}",73.26041666666666,70.09722222222223,76.9215676947691,72.09415322694491,3.1631944444444287,4.827414467824184
RF,I8_G9,t139,43,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",73.61458333333334,69.07986111111113,76.01227042613397,67.63295477443465,4.534722222222214,8.379315651699315
RF,F12,t15,43,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",75.3125,72.43402777777777,77.23696955594804,73.23409921244786,2.8784722222222285,4.002870343500177
RF,F12,t37,43,"{'max_features': 0.5, 'min_samples_leaf': 1}",73.47916666666666,71.05208333333333,74.80433618659828,75.34430851901314,2.4270833333333286,-0.5399723324148624
RF,F12,t88,43,"{'max_features': 0.5, 'min_samples_leaf': 1}",73.58333333333333,70.05902777777779,77.17713187964802,72.2824824470977,3.524305555555543,4.89464943255031
RF,F12,t139,43,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",73.5,69.65972222222221,76.28953754318269,68.88257336264871,3.8402777777777857,7.406964180533976
RF,I28_G29,t15,43,"{'max_features': 0.5, 'min_samples_leaf': 1}",76.16666666666667,72.60069444444444,78.12126351681408,73.88584108375731,3.5659722222222285,4.235422433056769
RF,I28_G29,t37,43,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",74.70833333333331,71.80555555555554,75.0357685024518,75.37362352964827,2.9027777777777715,-0.3378550271964684
RF,I28_G29,t88,43,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",74.15625,71.65624999999999,76.63369013055025,71.25397994864834,2.500000000000014,5.379710181901913
RF,I28_G29,t139,43,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",74.95833333333334,70.44791666666666,77.69884670429717,70.2268779771328,4.510416666666686,7.471968727164366
SVC,I8,t15,43,"{'C': 10.0, 'gamma_mult': 0.1}",74.36458333333334,71.30902777777779,68.42643542262576,65.69049720907985,3.055555555555557,2.735938213545907
SVC,I8,t37,43,"{'C': 100.0, 'gamma_mult': 0.1}",73.13541666666666,69.72222222222223,66.67286625844449,64.7574678458788,3.4131944444444287,1.9153984125656933
SVC,I8,t88,43,"{'C': 10.0, 'gamma_mult': 0.1}",72.80208333333333,71.23611111111111,69.0031536413237,63.75426668814307,1.5659722222222143,5.248886953180637
SVC,I8,t139,43,"{'C': 100.0, 'gamma_mult': 0.1}",73.5,70.41319444444444,68.60637763905719,60.01372120945612,3.086805555555557,8.592656429601064
SVC,I28,t15,43,"{'C': 10.0, 'gamma_mult': 0.1}",75.49999999999999,71.98958333333334,70.50025421138557,67.58017928205503,3.510416666666643,2.9200749293305392
SVC,I28,t37,43,"{'C': 10.0, 'gamma_mult': 0.1}",74.20833333333334,70.54166666666667,69.2633774066931,68.49959336067901,3.6666666666666714,0.7637840460140808
SVC,I28,t88,43,"{'C': 10.0, 'gamma_mult': 0.1}",74.27083333333333,71.97569444444444,70.9538795459084,66.17366333747913,2.2951388888888857,4.78021620842928
SVC,I28,t139,43,"{'C': 10.0, 'gamma_mult': 0.1}",74.61458333333333,71.1215277777778,71.43525332782957,63.139948159327794,3.4930555555555287,8.295305168501777
SVC,I8_G9,t15,43,"{'C': 100.0, 'gamma_mult': 0.1}",76.39583333333334,72.65625,78.22448338871995,73.33222007691647,3.739583333333343,4.892263311803475
SVC,I8_G9,t37,43,"{'C': 1.0, 'gamma_mult': 1.0}",74.63541666666667,72.36458333333334,75.02884091766886,73.5044421869607,2.2708333333333286,1.5243987307081568
SVC,I8_G9,t88,43,"{'C': 100.0, 'gamma_mult': 0.1}",74.44791666666667,72.31944444444444,76.9530806751776,71.86695521517608,2.1284722222222285,5.086125460001526
SVC,I8_G9,t139,43,"{'C': 1.0, 'gamma_mult': 1.0}",74.69791666666666,71.54166666666666,76.24239053531274,69.28928798168396,3.15625,6.953102553628781
SVC,F12,t15,43,"{'C': 10.0, 'gamma_mult': 0.1}",76.17708333333334,72.80208333333333,78.81982496903373,74.39947879047732,3.375000000000014,4.420346178556414
SVC,F12,t37,43,"{'C': 10.0, 'gamma_mult': 0.1}",74.61458333333333,72.41319444444446,75.42944706128465,75.51106631203771,2.2013888888888715,-0.08161925075306442
SVC,F12,t88,43,"{'C': 10.0, 'gamma_mult': 0.1}",74.44791666666667,72.6875,77.1084277830355,73.54621498364081,1.7604166666666714,3.562212799394686
SVC,F12,t139,43,"{'C': 1.0, 'gamma_mult': 1.0}",74.92708333333333,71.40972222222223,77.64113485842863,71.09010795023232,3.5173611111111,6.551026908196306
SVC,I28_G29,t15,43,"{'C': 10.0, 'gamma_mult': 0.1}",77.36458333333334,73.20138888888889,78.34696763848501,74.13336167311522,4.163194444444457,4.213605965369794
SVC,I28_G29,t37,43,"{'C': 10.0, 'gamma_mult': 0.1}",75.61458333333334,73.30555555555554,74.77348702450591,76.06270954957144,2.3090277777778,-1.2892225250655258
SVC,I28_G29,t88,43,"{'C': 10.0, 'gamma_mult': 0.1}",75.33333333333334,73.07638888888887,77.47592422787461,72.93508238667793,2.2569444444444713,4.540841841196681
SVC,I28_G29,t139,43,"{'C': 10.0, 'gamma_mult': 0.1}",75.86458333333333,72.47916666666666,77.18871708574622,71.14108499579147,3.3854166666666714,6.047632089954746
