seed,learner,representation,source_track,target_track,train_label,test_label,eval_support,oa,ba
17,SVC,I28_G29,t15,t88,CLC,CLC,U2,45.677083333333336,50.69788721969643
17,SVC,I28_G29,t15,t88,CLC,WC,U2,27.145833333333336,43.1127873295632
17,SVC,I28_G29,t15,t88,WC,WC,C2,72.18543046357617,69.77052502460312
17,SVC,I28_G29,t15,t88,C2_Consensus,C2_Consensus,C2,74.31705298013244,72.20058636878619
17,SVC,I28_G29,t15,t139,WC,WC,U2,64.78125,55.01825688532859
17,SVC,I28_G29,t15,t139,WC,CLC,U2,50.583333333333336,60.91904801765965
17,SVC,I28_G29,t15,t139,CLC,CLC,U2,44.947916666666664,50.902758478705465
17,SVC,I28_G29,t15,t139,CLC,WC,U2,25.156250000000004,43.25497567494844
17,SVC,I28_G29,t15,t139,WC,WC,C2,74.33774834437085,70.14239844079792
17,SVC,I28_G29,t15,t139,C2_Consensus,C2_Consensus,C2,75.7864238410596,71.6687688693347
17,SVC,I28_G29,t37,t15,WC,WC,U2,70.125,57.15836041208012
17,SVC,I28_G29,t37,t15,WC,CLC,U2,49.354166666666664,54.26359316302667
17,SVC,I28_G29,t37,t15,CLC,CLC,U2,45.01041666666667,50.15914444304893
17,SVC,I28_G29,t37,t15,CLC,WC,U2,26.927083333333336,44.11846588155325
17,SVC,I28_G29,t37,t15,WC,WC,C2,76.7591059602649,69.46355172683683
17,SVC,I28_G29,t37,t15,C2_Consensus,C2_Consensus,C2,76.30380794701986,79.7361509829055
17,SVC,I28_G29,t37,t88,WC,WC,U2,66.30208333333333,56.36136742534858
17,SVC,I28_G29,t37,t88,WC,CLC,U2,46.60416666666667,56.31449086739434
17,SVC,I28_G29,t37,t88,CLC,CLC,U2,45.625,51.31058689421219
17,SVC,I28_G29,t37,t88,CLC,WC,U2,27.708333333333336,44.36016962196155
17,SVC,I28_G29,t37,t88,WC,WC,C2,71.52317880794702,67.79071458723871
17,SVC,I28_G29,t37,t88,C2_Consensus,C2_Consensus,C2,71.83360927152319,75.77209487626592
17,SVC,I28_G29,t37,t139,WC,WC,U2,65.77083333333333,52.9783877144949
17,SVC,I28_G29,t37,t139,WC,CLC,U2,51.239583333333336,57.2355216516447
17,SVC,I28_G29,t37,t139,CLC,CLC,U2,45.21875,50.332955216502825
17,SVC,I28_G29,t37,t139,CLC,WC,U2,25.677083333333332,42.51648780503271
17,SVC,I28_G29,t37,t139,WC,WC,C2,75.7657284768212,66.72488051292514
17,SVC,I28_G29,t37,t139,C2_Consensus,C2_Consensus,C2,76.09685430463577,73.6459031811469
17,SVC,I28_G29,t88,t15,WC,WC,U2,69.39583333333333,57.32623259934139
17,SVC,I28_G29,t88,t15,WC,CLC,U2,51.01041666666667,54.38344789676617
17,SVC,I28_G29,t88,t15,CLC,CLC,U2,44.6875,48.55389812456474
17,SVC,I28_G29,t88,t15,CLC,WC,U2,25.083333333333336,42.364226369720406
17,SVC,I28_G29,t88,t15,WC,WC,C2,77.52483443708608,69.48325076696267
17,SVC,I28_G29,t88,t15,C2_Consensus,C2_Consensus,C2,76.20033112582782,75.15743334706232
17,SVC,I28_G29,t88,t37,WC,WC,U2,64.86458333333334,53.325528270511725
17,SVC,I28_G29,t88,t37,WC,CLC,U2,51.57291666666667,56.9352687243257
17,SVC,I28_G29,t88,t37,CLC,CLC,U2,44.697916666666664,47.53248503221398
17,SVC,I28_G29,t88,t37,CLC,WC,U2,24.520833333333332,41.03341478551409
17,SVC,I28_G29,t88,t37,WC,WC,C2,75.47599337748345,68.53545593701604
17,SVC,I28_G29,t88,t37,C2_Consensus,C2_Consensus,C2,74.95860927152319,73.20306939039457
17,SVC,I28_G29,t88,t139,WC,WC,U2,65.76041666666667,54.72722836620354
17,SVC,I28_G29,t88,t139,WC,CLC,U2,52.11458333333333,58.35198698681127
17,SVC,I28_G29,t88,t139,CLC,CLC,U2,44.59375,49.86551494167532
17,SVC,I28_G29,t88,t139,CLC,WC,U2,24.427083333333332,43.587178514345695
17,SVC,I28_G29,t88,t139,WC,WC,C2,76.32450331125827,69.27283867929734
17,SVC,I28_G29,t88,t139,C2_Consensus,C2_Consensus,C2,75.10347682119205,72.29367863654501
17,SVC,I28_G29,t139,t15,WC,WC,U2,69.20833333333334,54.090556846937886
17,SVC,I28_G29,t139,t15,WC,CLC,U2,49.25,50.88396056627327
17,SVC,I28_G29,t139,t15,CLC,CLC,U2,44.947916666666664,47.73894897945222
17,SVC,I28_G29,t139,t15,CLC,WC,U2,27.583333333333332,41.1427550909857
17,SVC,I28_G29,t139,t15,WC,WC,C2,75.91059602649007,63.998386523525966
17,SVC,I28_G29,t139,t15,C2_Consensus,C2_Consensus,C2,74.37913907284768,73.1563405455411
17,SVC,I28_G29,t139,t37,WC,WC,U2,65.16666666666666,47.71745312905536
17,SVC,I28_G29,t139,t37,WC,CLC,U2,51.55208333333333,52.51927453087253
17,SVC,I28_G29,t139,t37,CLC,CLC,U2,46.33333333333333,46.43350381734567
17,SVC,I28_G29,t139,t37,CLC,WC,U2,27.791666666666664,39.209299292255714
17,SVC,I28_G29,t139,t37,WC,WC,C2,76.07615894039735,61.61168567553662
17,SVC,I28_G29,t139,t37,C2_Consensus,C2_Consensus,C2,76.3658940397351,70.48306600305631
17,SVC,I28_G29,t139,t88,WC,WC,U2,66.44791666666666,50.11022562154691
17,SVC,I28_G29,t139,t88,WC,CLC,U2,46.21875,49.20736958221236
17,SVC,I28_G29,t139,t88,CLC,CLC,U2,45.6875,48.271417426719445
17,SVC,I28_G29,t139,t88,CLC,WC,U2,28.541666666666664,41.28530516466989
17,SVC,I28_G29,t139,t88,WC,WC,C2,71.15066225165563,59.10924589381463
17,SVC,I28_G29,t139,t88,C2_Consensus,C2_Consensus,C2,70.15728476821192,68.51415714940087
29,RF,I28,t15,t37,WC,WC,U2,65.13541666666667,50.093463916257065
29,RF,I28,t15,t37,WC,CLC,U2,50.177083333333336,50.351867527651265
29,RF,I28,t15,t37,CLC,CLC,U2,47.770833333333336,41.681641693470155
29,RF,I28,t15,t37,CLC,WC,U2,31.489583333333332,37.02886241841486
29,RF,I28,t15,t37,WC,WC,C2,74.62748344370861,61.517283380358315
29,RF,I28,t15,t37,C2_Consensus,C2_Consensus,C2,75.18625827814569,65.46835597332728
29,RF,I28,t15,t88,WC,WC,U2,67.0625,54.65240806593472
29,RF,I28,t15,t88,WC,CLC,U2,46.270833333333336,49.981096976830244
29,RF,I28,t15,t88,CLC,CLC,U2,46.270833333333336,41.67252332309097
29,RF,I28,t15,t88,CLC,WC,U2,31.135416666666664,38.266858317780994
29,RF,I28,t15,t88,WC,WC,C2,71.8543046357616,63.992109426423546
29,RF,I28,t15,t88,C2_Consensus,C2_Consensus,C2,70.94370860927152,63.94095869371918
29,RF,I28,t15,t139,WC,WC,U2,64.92708333333333,52.03882042820276
29,RF,I28,t15,t139,WC,CLC,U2,50.18749999999999,52.57258529628845
29,RF,I28,t15,t139,CLC,CLC,U2,47.36458333333333,42.39486533768191
29,RF,I28,t15,t139,CLC,WC,U2,30.229166666666668,38.45029676243506
29,RF,I28,t15,t139,WC,WC,C2,74.06870860927152,63.72445273315858
29,RF,I28,t15,t139,C2_Consensus,C2_Consensus,C2,74.04801324503312,64.6571936672171
29,RF,I28,t37,t15,WC,WC,U2,69.36458333333333,57.7729356365888
29,RF,I28,t37,t15,WC,CLC,U2,46.916666666666664,49.672644423602875
29,RF,I28,t37,t15,CLC,CLC,U2,45.645833333333336,42.558172392639015
29,RF,I28,t37,t15,CLC,WC,U2,30.479166666666668,39.91436274343062
29,RF,I28,t37,t15,WC,WC,C2,74.02731788079471,65.79255773551303
29,RF,I28,t37,t15,C2_Consensus,C2_Consensus,C2,72.18543046357617,69.54631684700394
29,RF,I28,t37,t88,WC,WC,U2,65.14583333333334,54.1654252844357
29,RF,I28,t37,t88,WC,CLC,U2,44.729166666666664,49.2078221865366
29,RF,I28,t37,t88,CLC,CLC,U2,45.229166666666664,45.101439821438184
29,RF,I28,t37,t88,CLC,WC,U2,29.083333333333332,39.67023220729602
29,RF,I28,t37,t88,WC,WC,C2,69.3294701986755,62.662950602599786
29,RF,I28,t37,t88,C2_Consensus,C2_Consensus,C2,65.74917218543047,66.60532055896213
29,RF,I28,t37,t139,WC,WC,U2,66.08333333333334,53.03909859868949
29,RF,I28,t37,t139,WC,CLC,U2,49.73958333333333,51.681642132171504
29,RF,I28,t37,t139,CLC,CLC,U2,47.010416666666664,44.37684501275964
29,RF,I28,t37,t139,CLC,WC,U2,29.302083333333336,38.44144998704174
29,RF,I28,t37,t139,WC,WC,C2,74.81374172185431,64.10536982933716
29,RF,I28,t37,t139,C2_Consensus,C2_Consensus,C2,73.2408940397351,65.19701221366407
29,RF,I28,t88,t15,WC,WC,U2,69.16666666666667,54.372390707018006
