learner,params,fold,fold_ba,fold_oa,representation,source_track
RF,"{'max_features': 0.5, 'min_samples_leaf': 5}",1,0.6965147258261977,0.6976151192440379,I8,t88
RF,"{'max_features': 0.5, 'min_samples_leaf': 5}",2,0.6092686568800598,0.704514774261287,I8,t88
RF,"{'max_features': 0.5, 'min_samples_leaf': 5}",3,0.696597715464123,0.5914204289785511,I8,t88
RF,"{'max_features': 1.0, 'min_samples_leaf': 1}",1,0.7281116127539952,0.6833658317084146,I8,t88
RF,"{'max_features': 1.0, 'min_samples_leaf': 1}",2,0.611965357003614,0.696265186740663,I8,t88
RF,"{'max_features': 1.0, 'min_samples_leaf': 1}",3,0.6699655269035236,0.5792710364481776,I8,t88
RF,"{'max_features': 1.0, 'min_samples_leaf': 5}",1,0.7330076017706477,0.6943152842357883,I8,t88
RF,"{'max_features': 1.0, 'min_samples_leaf': 5}",2,0.6022619117926868,0.7027148642567872,I8,t88
RF,"{'max_features': 1.0, 'min_samples_leaf': 5}",3,0.6750263740429424,0.5885705714714264,I8,t88
SVC,"{'C': 0.1, 'gamma_mult': 0.1}",1,0.578637006533923,0.7159142042897855,I8,t139
SVC,"{'C': 0.1, 'gamma_mult': 0.1}",2,0.5159602267057156,0.6992650367481625,I8,t139
SVC,"{'C': 0.1, 'gamma_mult': 0.1}",3,0.5475252041731006,0.4831258437078146,I8,t139
SVC,"{'C': 0.1, 'gamma_mult': 1.0}",1,0.5615282693626076,0.7169641517924104,I8,t139
SVC,"{'C': 0.1, 'gamma_mult': 1.0}",2,0.5430237820567934,0.7096145192740363,I8,t139
SVC,"{'C': 0.1, 'gamma_mult': 1.0}",3,0.5034235013213765,0.5378731063446828,I8,t139
SVC,"{'C': 0.1, 'gamma_mult': 10.0}",1,0.4333621012854434,0.6197690115494225,I8,t139
SVC,"{'C': 0.1, 'gamma_mult': 10.0}",2,0.38175530700426774,0.6137693115344233,I8,t139
SVC,"{'C': 0.1, 'gamma_mult': 10.0}",3,0.3682410426175032,0.4135293235338233,I8,t139
SVC,"{'C': 1.0, 'gamma_mult': 0.1}",1,0.6795337531927839,0.7214639268036598,I8,t139
SVC,"{'C': 1.0, 'gamma_mult': 0.1}",2,0.6132853009947732,0.7183140842957852,I8,t139
SVC,"{'C': 1.0, 'gamma_mult': 0.1}",3,0.6762146997860305,0.5248237588120594,I8,t139
SVC,"{'C': 1.0, 'gamma_mult': 1.0}",1,0.7276897086286558,0.72026398680066,I8,t139
SVC,"{'C': 1.0, 'gamma_mult': 1.0}",2,0.6428834496167998,0.7259637018149092,I8,t139
SVC,"{'C': 1.0, 'gamma_mult': 1.0}",3,0.7017644238258458,0.5657717114144293,I8,t139
SVC,"{'C': 1.0, 'gamma_mult': 10.0}",1,0.5036199057785005,0.6865156742162892,I8,t139
SVC,"{'C': 1.0, 'gamma_mult': 10.0}",2,0.49516984177498047,0.6863656817159142,I8,t139
SVC,"{'C': 1.0, 'gamma_mult': 10.0}",3,0.4659048962205512,0.520473976301185,I8,t139
SVC,"{'C': 10.0, 'gamma_mult': 0.1}",1,0.726569288750405,0.7298635068246587,I8,t139
SVC,"{'C': 10.0, 'gamma_mult': 0.1}",2,0.647188923232169,0.7267136643167842,I8,t139
SVC,"{'C': 10.0, 'gamma_mult': 0.1}",3,0.6921317173157131,0.5380230988450577,I8,t139
SVC,"{'C': 10.0, 'gamma_mult': 1.0}",1,0.6856748022869132,0.7181640917954102,I8,t139
SVC,"{'C': 10.0, 'gamma_mult': 1.0}",2,0.6471827229250985,0.7243137843107844,I8,t139
SVC,"{'C': 10.0, 'gamma_mult': 1.0}",3,0.6878128997162426,0.5630718464076796,I8,t139
SVC,"{'C': 10.0, 'gamma_mult': 10.0}",1,0.47631618060748976,0.6401679916004199,I8,t139
